sortOrder,presetId,title,programGroup,axis,engineMode,engineLevel,engineOptionsJson,activityFamilyId,movementProfileId,theme,rounds,cueSeconds,isReady,description,recommendedUse,runtimeSignature,mechanicSignature,themeSignature,stageSignature
43,reaction-cognition-l2-animal-exp,동물,reaction-cognition,response,basic,2,"{""variantColorTheme"":""animal""}",reaction-quadrant,simpleColorResponse,animal,20,3,true,2×2 그리드형 화면에서 한 칸에 표시되는 동물 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"색상 지각, 위치 선택, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":2,""mode"":""basic"",""options"":{""variantColorTheme"":""animal""},""rounds"":20,""theme"":""animal""}","v1|{""level"":2,""mode"":""basic"",""options"":{}}",v1|theme=animal,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
44,reaction-cognition-l2-food-exp,음식,reaction-cognition,response,basic,2,"{""variantColorTheme"":""food""}",reaction-quadrant,simpleColorResponse,food,20,3,true,2×2 그리드형 화면에서 한 칸에 표시되는 음식 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"색상 지각, 위치 선택, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":2,""mode"":""basic"",""options"":{""variantColorTheme"":""food""},""rounds"":20,""theme"":""food""}","v1|{""level"":2,""mode"":""basic"",""options"":{}}",v1|theme=food,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
45,reaction-cognition-l2-nature-exp,자연,reaction-cognition,response,basic,2,"{""variantColorTheme"":""nature""}",reaction-quadrant,simpleColorResponse,nature,20,3,true,2×2 그리드형 화면에서 한 칸에 표시되는 자연 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"색상 지각, 위치 선택, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":2,""mode"":""basic"",""options"":{""variantColorTheme"":""nature""},""rounds"":20,""theme"":""nature""}","v1|{""level"":2,""mode"":""basic"",""options"":{}}",v1|theme=nature,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
46,reaction-cognition-l2-vehicle-exp,탈 것,reaction-cognition,response,basic,2,"{""variantColorTheme"":""vehicle""}",reaction-quadrant,simpleColorResponse,vehicle,20,3,true,2×2 그리드형 화면에서 한 칸에 표시되는 탈 것 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"색상 지각, 위치 선택, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":2,""mode"":""basic"",""options"":{""variantColorTheme"":""vehicle""},""rounds"":20,""theme"":""vehicle""}","v1|{""level"":2,""mode"":""basic"",""options"":{}}",v1|theme=vehicle,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
47,reaction-cognition-l2-mix-exp,믹스,reaction-cognition,response,basic,2,"{""variantColorTheme"":""mix""}",reaction-quadrant,simpleColorResponse,mix,20,3,true,2×2 그리드형 화면에서 한 칸에 표시되는 믹스 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"색상 지각, 위치 선택, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":2,""mode"":""basic"",""options"":{""variantColorTheme"":""mix""},""rounds"":20,""theme"":""mix""}","v1|{""level"":2,""mode"":""basic"",""options"":{}}",v1|theme=mix,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
48,reaction-cognition-l3-fruit-exp,전면단일 · 과일,reaction-cognition,response,basic,3,"{""variantColorTheme"":""fruit""}",reaction-full,themedFullResponse,fruit,20,4,true,전체형 화면 하나에 크게 표시되는 과일 신호를 보고 해당 색 패드 위치로 즉시 이동하는 전면단일 자극 활동,"전신 반응, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":4,""level"":3,""mode"":""basic"",""options"":{""variantColorTheme"":""fruit""},""rounds"":20,""theme"":""fruit""}","v1|{""level"":3,""mode"":""basic"",""options"":{}}",v1|theme=fruit,"v1|{""cueSeconds"":4,""level"":3,""rounds"":20}"
49,reaction-cognition-l3-food-exp,전면단일 · 음식,reaction-cognition,response,basic,3,"{""variantColorTheme"":""food""}",reaction-full,themedFullResponse,food,20,3,true,전체형 화면 하나에 크게 표시되는 음식 신호를 보고 해당 색 패드 위치로 즉시 이동하는 전면단일 자극 활동,"전신 반응, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":3,""mode"":""basic"",""options"":{""variantColorTheme"":""food""},""rounds"":20,""theme"":""food""}","v1|{""level"":3,""mode"":""basic"",""options"":{}}",v1|theme=food,"v1|{""cueSeconds"":3,""level"":3,""rounds"":20}"
50,reaction-cognition-l3-vehicle-exp,전면단일 · 탈 것,reaction-cognition,response,basic,3,"{""variantColorTheme"":""vehicle""}",reaction-full,themedFullResponse,vehicle,20,5,true,전체형 화면 하나에 크게 표시되는 탈 것 신호를 보고 해당 색 패드 위치로 즉시 이동하는 전면단일 자극 활동,"전신 반응, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":5,""level"":3,""mode"":""basic"",""options"":{""variantColorTheme"":""vehicle""},""rounds"":20,""theme"":""vehicle""}","v1|{""level"":3,""mode"":""basic"",""options"":{}}",v1|theme=vehicle,"v1|{""cueSeconds"":5,""level"":3,""rounds"":20}"
51,reaction-cognition-l3-mix-exp,전면단일 · 믹스,reaction-cognition,response,basic,3,"{""variantColorTheme"":""mix""}",reaction-full,themedFullResponse,mix,20,4,true,전체형 화면 하나에 크게 표시되는 믹스 신호를 보고 해당 색 패드 위치로 즉시 이동하는 전면단일 자극 활동,"전신 반응, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":4,""level"":3,""mode"":""basic"",""options"":{""variantColorTheme"":""mix""},""rounds"":20,""theme"":""mix""}","v1|{""level"":3,""mode"":""basic"",""options"":{}}",v1|theme=mix,"v1|{""cueSeconds"":4,""level"":3,""rounds"":20}"
52,reaction-cognition-l4-fruit-exp,2분할 · 과일,reaction-cognition,response,basic,4,"{""variantColorTheme"":""fruit""}",reaction-split,simpleColorResponse,fruit,20,3,true,2분할 패널형 화면의 좌우 두 패널에 표시되는 과일 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 양측 이동, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":4,""mode"":""basic"",""options"":{""variantColorTheme"":""fruit""},""rounds"":20,""theme"":""fruit""}","v1|{""level"":4,""mode"":""basic"",""options"":{}}",v1|theme=fruit,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
53,reaction-cognition-l4-animal-exp,2분할 · 동물,reaction-cognition,response,basic,4,"{""variantColorTheme"":""animal""}",reaction-split,simpleColorResponse,animal,20,3,true,2분할 패널형 화면의 좌우 두 패널에 표시되는 동물 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 양측 이동, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":4,""mode"":""basic"",""options"":{""variantColorTheme"":""animal""},""rounds"":20,""theme"":""animal""}","v1|{""level"":4,""mode"":""basic"",""options"":{}}",v1|theme=animal,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
54,reaction-cognition-l4-food-exp,2분할 · 음식,reaction-cognition,response,basic,4,"{""variantColorTheme"":""food""}",reaction-split,simpleColorResponse,food,20,3,true,2분할 패널형 화면의 좌우 두 패널에 표시되는 음식 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 양측 이동, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":4,""mode"":""basic"",""options"":{""variantColorTheme"":""food""},""rounds"":20,""theme"":""food""}","v1|{""level"":4,""mode"":""basic"",""options"":{}}",v1|theme=food,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
55,reaction-cognition-l4-nature-exp,2분할 · 자연,reaction-cognition,response,basic,4,"{""variantColorTheme"":""nature""}",reaction-split,simpleColorResponse,nature,20,3,true,2분할 패널형 화면의 좌우 두 패널에 표시되는 자연 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 양측 이동, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":4,""mode"":""basic"",""options"":{""variantColorTheme"":""nature""},""rounds"":20,""theme"":""nature""}","v1|{""level"":4,""mode"":""basic"",""options"":{}}",v1|theme=nature,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
56,reaction-cognition-l4-vehicle-exp,2분할 · 탈 것,reaction-cognition,response,basic,4,"{""variantColorTheme"":""vehicle""}",reaction-split,simpleColorResponse,vehicle,20,3,true,2분할 패널형 화면의 좌우 두 패널에 표시되는 탈 것 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 양측 이동, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":4,""mode"":""basic"",""options"":{""variantColorTheme"":""vehicle""},""rounds"":20,""theme"":""vehicle""}","v1|{""level"":4,""mode"":""basic"",""options"":{}}",v1|theme=vehicle,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
57,reaction-cognition-l4-mix-exp,2분할 · 믹스,reaction-cognition,response,basic,4,"{""variantColorTheme"":""mix""}",reaction-split,simpleColorResponse,mix,20,3,true,2분할 패널형 화면의 좌우 두 패널에 표시되는 믹스 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 양측 이동, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":4,""mode"":""basic"",""options"":{""variantColorTheme"":""mix""},""rounds"":20,""theme"":""mix""}","v1|{""level"":4,""mode"":""basic"",""options"":{}}",v1|theme=mix,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
58,reaction-cognition-l5-fruit-exp,3분할 · 과일,reaction-cognition,response,basic,5,"{""variantColorTheme"":""fruit""}",reaction-triple,simpleColorResponse,fruit,20,3,true,3분할 패널형 화면의 세 패널에 표시되는 서로 다른 과일 신호 중 목표 색을 골라 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":5,""mode"":""basic"",""options"":{""variantColorTheme"":""fruit""},""rounds"":20,""theme"":""fruit""}","v1|{""level"":5,""mode"":""basic"",""options"":{}}",v1|theme=fruit,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
59,reaction-cognition-l5-animal-exp,3분할 · 동물,reaction-cognition,response,basic,5,"{""variantColorTheme"":""animal""}",reaction-triple,simpleColorResponse,animal,20,3,true,3분할 패널형 화면의 세 패널에 표시되는 서로 다른 동물 신호 중 목표 색을 골라 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":5,""mode"":""basic"",""options"":{""variantColorTheme"":""animal""},""rounds"":20,""theme"":""animal""}","v1|{""level"":5,""mode"":""basic"",""options"":{}}",v1|theme=animal,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
60,reaction-cognition-l5-food-exp,3분할 · 음식,reaction-cognition,response,basic,5,"{""variantColorTheme"":""food""}",reaction-triple,simpleColorResponse,food,20,3,true,3분할 패널형 화면의 세 패널에 표시되는 서로 다른 음식 신호 중 목표 색을 골라 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":5,""mode"":""basic"",""options"":{""variantColorTheme"":""food""},""rounds"":20,""theme"":""food""}","v1|{""level"":5,""mode"":""basic"",""options"":{}}",v1|theme=food,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
61,reaction-cognition-l5-nature-exp,3분할 · 자연,reaction-cognition,response,basic,5,"{""variantColorTheme"":""nature""}",reaction-triple,simpleColorResponse,nature,20,3,true,3분할 패널형 화면의 세 패널에 표시되는 서로 다른 자연 신호 중 목표 색을 골라 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":5,""mode"":""basic"",""options"":{""variantColorTheme"":""nature""},""rounds"":20,""theme"":""nature""}","v1|{""level"":5,""mode"":""basic"",""options"":{}}",v1|theme=nature,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
62,reaction-cognition-l5-vehicle-exp,3분할 · 탈 것,reaction-cognition,response,basic,5,"{""variantColorTheme"":""vehicle""}",reaction-triple,simpleColorResponse,vehicle,20,3,true,3분할 패널형 화면의 세 패널에 표시되는 서로 다른 탈 것 신호 중 목표 색을 골라 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":5,""mode"":""basic"",""options"":{""variantColorTheme"":""vehicle""},""rounds"":20,""theme"":""vehicle""}","v1|{""level"":5,""mode"":""basic"",""options"":{}}",v1|theme=vehicle,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
63,reaction-cognition-l5-mix-exp,3분할 · 믹스,reaction-cognition,response,basic,5,"{""variantColorTheme"":""mix""}",reaction-triple,simpleColorResponse,mix,20,3,true,3분할 패널형 화면의 세 패널에 표시되는 서로 다른 믹스 신호 중 목표 색을 골라 해당 색 패드 위치로 즉시 이동하는 활동,"선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":5,""mode"":""basic"",""options"":{""variantColorTheme"":""mix""},""rounds"":20,""theme"":""mix""}","v1|{""level"":5,""mode"":""basic"",""options"":{}}",v1|theme=mix,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
64,reaction-cognition-l6-fruit-exp,랜덤분할 · 과일,reaction-cognition,response,basic,6,"{""variantColorTheme"":""fruit""}",reaction-triple-diff,simpleColorResponse,fruit,20,3,true,전면 1개·2분할·3분할이 20%·30%·50% 확률로 바뀌며 제시되는 과일 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"심화 선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":6,""mode"":""basic"",""options"":{""variantColorTheme"":""fruit""},""rounds"":20,""theme"":""fruit""}","v1|{""level"":6,""mode"":""basic"",""options"":{}}",v1|theme=fruit,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
65,reaction-cognition-l6-animal-exp,랜덤분할 · 동물,reaction-cognition,response,basic,6,"{""variantColorTheme"":""animal""}",reaction-triple-diff,simpleColorResponse,animal,20,3,true,전면 1개·2분할·3분할이 20%·30%·50% 확률로 바뀌며 제시되는 동물 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"심화 선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":6,""mode"":""basic"",""options"":{""variantColorTheme"":""animal""},""rounds"":20,""theme"":""animal""}","v1|{""level"":6,""mode"":""basic"",""options"":{}}",v1|theme=animal,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
66,reaction-cognition-l6-food-exp,랜덤분할 · 음식,reaction-cognition,response,basic,6,"{""variantColorTheme"":""food""}",reaction-triple-diff,simpleColorResponse,food,20,3,true,전면 1개·2분할·3분할이 20%·30%·50% 확률로 바뀌며 제시되는 음식 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"심화 선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":6,""mode"":""basic"",""options"":{""variantColorTheme"":""food""},""rounds"":20,""theme"":""food""}","v1|{""level"":6,""mode"":""basic"",""options"":{}}",v1|theme=food,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
67,reaction-cognition-l6-nature-exp,랜덤분할 · 자연,reaction-cognition,response,basic,6,"{""variantColorTheme"":""nature""}",reaction-triple-diff,simpleColorResponse,nature,20,3,true,전면 1개·2분할·3분할이 20%·30%·50% 확률로 바뀌며 제시되는 자연 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"심화 선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":6,""mode"":""basic"",""options"":{""variantColorTheme"":""nature""},""rounds"":20,""theme"":""nature""}","v1|{""level"":6,""mode"":""basic"",""options"":{}}",v1|theme=nature,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
68,reaction-cognition-l6-vehicle-exp,랜덤분할 · 탈 것,reaction-cognition,response,basic,6,"{""variantColorTheme"":""vehicle""}",reaction-triple-diff,simpleColorResponse,vehicle,20,3,true,전면 1개·2분할·3분할이 20%·30%·50% 확률로 바뀌며 제시되는 탈 것 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"심화 선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":6,""mode"":""basic"",""options"":{""variantColorTheme"":""vehicle""},""rounds"":20,""theme"":""vehicle""}","v1|{""level"":6,""mode"":""basic"",""options"":{}}",v1|theme=vehicle,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
69,reaction-cognition-l6-mix-exp,랜덤분할 · 믹스,reaction-cognition,response,basic,6,"{""variantColorTheme"":""mix""}",reaction-triple-diff,simpleColorResponse,mix,20,3,true,전면 1개·2분할·3분할이 20%·30%·50% 확률로 바뀌며 제시되는 믹스 신호를 보고 해당 색 패드 위치로 즉시 이동하는 활동,"심화 선택 반응, 시선 분산, 색·이미지 판단, 반응-실행 연결","v1|{""cueSeconds"":3,""level"":6,""mode"":""basic"",""options"":{""variantColorTheme"":""mix""},""rounds"":20,""theme"":""mix""}","v1|{""level"":6,""mode"":""basic"",""options"":{}}",v1|theme=mix,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
70,simon-mixed-gallery-exp,사이먼 효과 · 믹스 갤러리,simon,attention,simon,3,{},simon-mixed,choiceReaction,none,20,3,true,과일·동물 등 변형 색상 이미지가 섞여 극단 위치에 나타날 때 이미지 색(패드) 위치로 반응하는 활동,"혼합 자극 처리, 선택주의 심화, 이미지 색 반응","v1|{""cueSeconds"":3,""level"":3,""mode"":""simon"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":3,""mode"":""simon"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":3,""rounds"":20}"
71,flanker-arrow-udlr-exp,플랭커 · 화살표 · 상하좌우,flanker,attention,flanker,5,"{""flankerArrowMode"":""udlr""}",flanker-arrow,choiceReaction,none,20,3,true,상하좌우 화살표 방해 자극 속에서 가운데 방향만 보고 반응하는 응용 화살표 플랭커 활동,"방향 방해 억제, 상하좌우 반응, 선택주의","v1|{""cueSeconds"":3,""level"":5,""mode"":""flanker"",""options"":{""flankerArrowMode"":""udlr""},""rounds"":20,""theme"":""none""}","v1|{""level"":5,""mode"":""flanker"",""options"":{""flankerArrowMode"":""udlr""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
72,flanker-uniform-number-exp,플랭커 · Uniform · 숫자,flanker,attention,flanker,1,"{""flankerStimulusType"":""number""}",flanker-uniform,choiceReaction,none,20,3,true,다섯 원이 같은 색일 때 가운데 숫자에 맞는 색 위치로 반응하는 숫자 플랭커 활동,"숫자·색 매칭, 선택주의, 방해 억제","v1|{""cueSeconds"":3,""level"":1,""mode"":""flanker"",""options"":{""flankerStimulusType"":""number""},""rounds"":20,""theme"":""none""}","v1|{""level"":1,""mode"":""flanker"",""options"":{""flankerStimulusType"":""number""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":20}"
73,flanker-random-number-exp,플랭커 · Random · 숫자,flanker,attention,flanker,2,"{""flankerStimulusType"":""number""}",flanker-random,choiceReaction,none,20,3,true,무작위 색 원 중 가운데 숫자에 맞는 색 위치로 반응하는 숫자 플랭커 활동,"숫자·색 매칭, 무작위 방해 억제, 선택주의","v1|{""cueSeconds"":3,""level"":2,""mode"":""flanker"",""options"":{""flankerStimulusType"":""number""},""rounds"":20,""theme"":""none""}","v1|{""level"":2,""mode"":""flanker"",""options"":{""flankerStimulusType"":""number""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
74,flanker-5circle-number-exp,플랭커 · 5원 극단 · 숫자,flanker,attention,flanker,3,"{""flankerStimulusType"":""number""}",flanker-5circle,choiceReaction,none,20,3,true,극단적 크기 대비 다섯 원에서 가운데 숫자에 맞는 색 위치로 반응하는 숫자 플랭커 활동,"숫자·색 매칭, 크기 극단 비교, 선택주의","v1|{""cueSeconds"":3,""level"":3,""mode"":""flanker"",""options"":{""flankerStimulusType"":""number""},""rounds"":20,""theme"":""none""}","v1|{""level"":3,""mode"":""flanker"",""options"":{""flankerStimulusType"":""number""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":3,""rounds"":20}"
75,sequential-memory-color-number-exp,순차 기억 · Color-Number Quiz,sequential-memory,executive,spatial,4,{},sequential-memory,sequentialMemory,none,10,3,true,번호 1~10에 매칭된 색을 기억하고 질문에 답하는 색·번호 연합 기억 활동,"색·번호 연합 기억, 작업기억, 퀴즈형 마무리","v1|{""cueSeconds"":3,""level"":4,""mode"":""spatial"",""options"":{},""rounds"":10,""theme"":""none""}","v1|{""level"":4,""mode"":""spatial"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":4,""rounds"":10}"
76,sequential-memory-custom-10color-exp,순차 기억 · Custom 10-Color,sequential-memory,executive,spatial,6,{},sequential-memory,sequentialMemory,none,10,3,true,1~10번 슬롯에 빨·노·초·파를 직접 지정해 순서를 기억하고 재현하는 고급 기억 활동,"직접 지정 순서 기억, 작업기억 극한, 심화 마무리","v1|{""cueSeconds"":3,""level"":6,""mode"":""spatial"",""options"":{},""rounds"":10,""theme"":""none""}","v1|{""level"":6,""mode"":""spatial"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":6,""rounds"":10}"
