#,Group,Public ID,현재 제목,Engine,Level,핵심 옵션,SIGNAL,SELECT,MOVE,Family,CMS,Asset,Status,Risk,문제 요약,Root Mechanic,Variant,Backward Compatibility,Evidence File,Recommended Next Action
63,stroop,stroop-word-reverse-48,단어 · 보통+ (의미/잉크·역전),stroop,3,no extra option vs L2,SIGNAL: L2와 동일(검정 배경 색 단어).,SELECT: L2와 동일(의미/잉크 ± 역전).,MOVE: 말로 답한다.,stroop-word,VERIFY,ASSET VERIFY REQUIRED,FAIL,P0,stroopWordDifficulty 미전달. L2와 TRUE DUPLICATE.,stroop-word-switch,false-variant,YES,signals.ts level===2||3,HOLD 또는 실제 난이도 옵션 연결(2단계)
64,stroop,stroop-word-bg-49,단어 · 어려움 (배경간섭 추가),stroop,4,stroopWordMode=bg,SIGNAL: 색 단어+잉크+배경색이 서로 다름.,SELECT: 기본 분기는 잉크 색 이름(voice=tc.name).,MOVE: 말로 답한다.,stroop-word,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,음성 스트룹. missing 모드는 HOLD 50번.,stroop-word-bg,voice,LOW,signals.ts stroop L4,움직임 정의 PO
65,sequential-memory,sequential-memory-3color-09,순서 기억 · 쉬움 (3개),spatial,1,MemoryGame L1,SIGNAL: 색 3개가 차례로 점등(1–2.5초 랜덤).,SELECT: 제시 순서.,MOVE: 같은 순서로 색 패드를 재현한다.,sequential-memory,VERIFY (pilot seed),ASSET VERIFY REQUIRED,WARN,P2,preset.cueSeconds=3은 L1/L2에서 무시됨. settingSummary의 랜덤은 맞음.,seq-serial,len=3,LOW,MemoryGame.tsx colorShowMs,cue 필드 정리
66,sequential-memory,sequential-memory-5color-51,순서 기억 · 보통 (5개),spatial,2,MemoryGame L2,SIGNAL: 색 5개 순차 제시(1–2.5초 랜덤).,SELECT: 제시 순서.,MOVE: 패드로 순서 재현.,sequential-memory,VERIFY,ASSET VERIFY REQUIRED,WARN,P2,cueSeconds 미사용(L1/L2).,seq-serial,len=5,LOW,MemoryGame.tsx,cue 필드 정리
67,sequential-memory,sequential-memory-10color-52,순서 기억 · 쉬움→보통→어려움 (3~7개),spatial,3,ramp 5 rounds,SIGNAL: 라운드마다 3→7색으로 늘어나는 순차 점등.,SELECT: 해당 라운드 순서.,MOVE: 패드로 재현.,sequential-memory,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,speedSec 사용.,seq-ramp,3to7,LOW,COLOR_SEQUENCE_RAMP_LENGTHS,none
68,sequential-memory,sequential-memory-custom-10color-exp,순간 기억 · 4x4 그리드 (원샷),spatial,7,"grid=4 mode=oneshot ColorMemoryGrid",SIGNAL: 4x4 색 그리드를 외운 뒤 한 칸 색이 바뀐 화면.,SELECT: 바뀐(새) 색.,MOVE: 해당 색 패드로 반응.,sequential-memory,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,EngineRouter spatial L7 전달 확인.,seq-grid-oneshot,4x4,LOW,ColorMemoryGridReactionTraining.tsx,none
69,sequential-memory,sequential-memory-color-number-exp,랜덤 기억 · 어려움 (퀴즈),spatial,4,MemoryGameLevel4,SIGNAL: 색 배경+큰 숫자 10개 순차 부호화 후 5문항 Q&A.,SELECT: 번호↔색 연합.,MOVE: 엔진은 Space/Enter로 문항·정답 공개. 패드 재현 루프 없음.,sequential-memory,VERIFY,ASSET VERIFY REQUIRED,FAIL,P0,순차 기억 그룹이나 교사 진행 퀴즈. SPOMOVE 움직임 계약과 충돌.,seq-quiz,teacher-paced,YES,MemoryGameLevel4.tsx,별도 퀴즈 타입 또는 HOLD
70,sequential-memory,sequential-memory-full-reveal-54,전체 공개 · 어려움,spatial,5,MemoryGameLevel5,SIGNAL: 색+번호 시퀀스 제시 후 대기. Space로 전체 공개.,SELECT: 전체 패턴 기억(화면 공개).,MOVE: VERIFY — 패드 채점 루프가 없고 Space로 reveal/done.,sequential-memory,VERIFY,ASSET VERIFY REQUIRED,VERIFY,P1,실수업에서 패드로 재현하는지는 플레이 확인 필요.,seq-full-reveal,teacher-paced,LOW,MemoryGameLevel5.tsx,실기 VERIFY
71,dive,dive-standard,DIVE · 기본,flow,1,"features punch kick duck reach sequential 20s/stage includeBonus=false",SIGNAL: 스테이지마다 점프·펀치·킥·숙이기·벽 안내(코드는 jump 모듈 기본 포함).,SELECT: 화면이 지시하는 동작.,MOVE: 매트 공간에서 해당 전신 동작 수행(센서 채점 없음).,dive,VERIFY (pilot seed),dive GLB models,PASS,P2,FlowEngine. colorGate 없음.,dive-obstacles,sequential,LOW,EngineRouter flow + FlowEngine.ts,none
72,dive,dive-color-gate-61,DIVE · 모션 게이트,flow,2,flowFeatures colorGate; EngineRouter adds colorGate if L2,SIGNAL: 빨노초파 색 관문 + 포즈 실루엣(기본 solo-easy: jump kick side-squat lunge-reach star).,SELECT: 관문 색과 요구 포즈.,MOVE: 해당 색 판단과 포즈 수행.,dive,VERIFY,public/spomove/dive/color-gate/*.png,WARN,P1,colorGateVariant는 프리셋에 없고 MemoryGameApp 기본 solo-easy. Session URL에 variant 없음. together 포즈는 세션에서 안 넘어가면 미사용.,dive-color-gate,solo-easy default,LOW,colorGateGuides.ts + EngineRouter flow L2,operation/query에 variant 필요하면 2단계
